thread_id,customer_tweet_id,spotify_reply_id,customer_text,spotify_reply,created_at
837865,837865,837864,saya udah jd premium kok ga bisa skip lagu/geser ya?,"Hey! We can help out in English via Twitter, but we also have Indonesian support via email at /YM",Mon Oct 09 04:54:44 +0000 2017
713838,713838,713840,Im on samsung j7 and its acting like it dosent know where my music is saved i have not switched any sd cards and memory is not full,"Hmm, that's odd. Can you send over your email address and username? We'll take a closer look /RV",Tue Oct 10 23:21:28 +0000 2017
1934180,1934180,1934179,I really want to come over but when Groove/Play Music/iTunes all have the clean version of a recent album and you don't that's a problem.,1: Hi! Spotify doesn’t censor music – we make it available in whatever form it’s given to us. More info here:,Sun Oct 29 02:32:22 +0000 2017
2757609,2757609,2757608,PLEASE SPOTIFY DONT MAKE INDIA FEEL BORED NO GREAT MUSIC PLATFORM NEED SPOTIFY IN INDIA PLEASE🙏🙏🙏🙏🙏🙏,Hey Himanshu! We're launching regularly in countries around the world. Sign up here to be first to hear: /FR,Tue Nov 21 03:18:44 +0000 2017
2627892,2627892,2627891,I lost all my playlists and song cache. What has happened? Its like I logged in for the 1st time. Help.,"Hey, that's no fun! Can you DM us with your account's username and email address? We'll check things out backstage /WW",Fri Nov 17 17:13:11 +0000 2017
2550446,2550446,2550445,Why can't my shuffle my playlists anymore?,"Hi Erin, help's here! Can you let us know your device's model, OS, and Spotify version? We'll see what we can suggest /DV",Mon Oct 30 14:50:43 +0000 2017
1098076,1098076,1098075,Wow security fail . Using the app on windows and instead of my user name it’s displaying my password!!!,Hey James! Can you DM us your account's email address or username? We'll check backstage /AR,Mon Oct 23 22:03:16 +0000 2017
1044333,1044333,1044331,why is airplay free and Sonos play not?,"Hey Andy! We've more got info on this at Any other questions, just give us a shout /RH",Thu Oct 12 22:54:59 +0000 2017
455642,455642,455644,What is the point? You’ve done nothing about it and people have been asking for years. I want to protect my children and you clearly have your own agenda as other streaming services manage to filter explicit content.,We understand how you feel. We appreciate your feedback. We'll be sure to pass it on to the relevant team /AR,Fri Dec 01 00:22:26 +0000 2017
1160842,1160842,1160839,"the audio problems we're having with Windows, Spotify, and Bluetooth devices are really bad. Help?!",Hi Shelly! The cavalry's here. Can you send us a bit more info on what's happening? We'll see what we can do /AU,Tue Oct 24 16:55:25 +0000 2017
1825038,1825038,1825039,"Streaming. I tried to download and it did not work. Message on desktop says something like ""this track is not available at this time""",Could you send us a DM with your account's email address or username? We'll take a look backstage /LO,Wed Oct 18 04:36:44 +0000 2017
1444710,1444710,1444709,I have Spotify Premium with 8 playlists. Will Spotify play all playlists continuously one after the other? Thanks 🙂,"Hey Vanessa! We're afraid that's not possible right now. Don't worry, we'll let our devs know this is something you'd like to see /GK",Thu Nov 02 14:27:55 +0000 2017
2094269,2094269,2094268,"Hey , why after my screen turns off does it show up as unavailable to play on on the other phone instantly it's so fucking stupid","Hey Mike, help's here! Can you let us know the devices, operating systems, and Spotify versions you're using? /RH",Thu Oct 19 03:20:14 +0000 2017
1829952,1829952,1829951,"I get that i'm a sub-sect user (Metal/Alt), but it nice be great if one of your ""Happy"" playlists wasn't 95% full of annoying music","Hi Eric! Our Curation team is independent &amp; uses taste, research, and trends to create playlists, but we’ll pass on your suggestion /JP",Tue Oct 17 16:24:56 +0000 2017
424392,424392,424391,"- my shuffle has gone all wonky again: Multi-thousand track playlist, shuffle only sees first half-dozen albums. Premium Sub.","Hey. Thanks for the feedback, we've passed this on! We'd also recommend continuing to show your support at: /M",Tue Oct 10 11:33:36 +0000 2017
1538203,1538203,1538202,PISSED OFF THAT FUCKING CHARGED ME FULL PRICE AND TOOK ME OFF HULU ON ITS OWN BOUTTA SWITCH TO APPLE MUSIC,Hi! We've just sent a DM your way. Let's carry on chatting there /RA,Sat Nov 04 01:28:45 +0000 2017
2823213,2823213,2823212,WHY ARE ALL MY SONGS GONE !?!??,Hey Alexis! Help's here. Can you DM us your account's email address? We'll take a look backstage /MG,Sat Nov 11 22:59:48 +0000 2017
2916662,2916662,2916661,"I'd really appreciate a function on Spotify Connect to forget a device. My Spotify keeps connecting to my neighbour's phone, and they must be mistakenly selecting to Listen on This Phone at which point it swaps our music over. Not cool.",We've just sent you a bit more info over DM. We'll carry on helping out there /MG,Tue Nov 28 23:37:08 +0000 2017
1867981,1867981,1867980,"help pls, my app updated and some albums won't play /-:","Hey there! Don't worry, help's here. What device, operating system, and Spotify version are you using? We'll see what we can suggest /MT",Fri Oct 20 22:27:32 +0000 2017
1209315,1209315,1209313,I have an Xbox and you guys are blocking me from using my streaming subscription because it isn’t available in the BAHAMAS! WTF,Hey there! We're launching regularly in countries around the world. Sign up here to be first to hear: /AR,Sun Oct 15 22:52:49 +0000 2017
1379243,1379243,1379239,"The horror of discovering all but 1 of your playlists are suddenly not available offline anymore, right before a 10 hour fight.","Hey, sorry to hear that! The steps under “Downloads unexpectedly removed” at should help with this /MG",Sat Oct 28 04:30:01 +0000 2017
2905918,2905918,2905920,Well after the update most of the songs sound robotic,"Thanks! Can you clarify on what you mean by robotic? If you can send over a video/audio recording of how it sounds like, that would be great /JP",Tue Nov 28 21:58:28 +0000 2017
2586513,2586513,2586517,"Found it, but there's no songs","Can you try logging out, restarting your device, and logging back in to see if the songs are still not showing? /FR",Fri Nov 17 01:13:31 +0000 2017
1898935,1898935,1898934,as a music/entertainment exec this is very alarming please contact me asap,"Hey Matt, that's not cool! Can you DM us your account's email address and username? We'll take a look backstage /JX",Mon Oct 23 20:03:19 +0000 2017
1840149,1840149,1840148,no way it’s 30 min of ad free music,"Hey, that doesn't sound good! Did the app crash any time during the 30 minutes? That can cause the ad-free time to reset. Let us know /RV",Tue Oct 17 22:03:18 +0000 2017
1943606,1943606,1943605,How do you block unwanted music/artist in,"Hey there! This isn't possible right now, but you can show your support for the idea in our Community: /NS",Mon Oct 30 03:12:35 +0000 2017
2715264,2715264,2715266,Lol the repeat option was on. Nice catch. Thanks! Back to the radio stations 👌🙌,No worries! Just give us a shout if you need anything else. We're... /JU,Mon Nov 20 05:57:50 +0000 2017
380825,380825,380824,Heyy i have songs downloaded for a long while then this happens can you explain,Hi there! Check out the steps under “Downloads unexpectedly removed” at They should help with this /YM,Mon Oct 09 05:16:23 +0000 2017
1761831,1761831,1761832,"Dont give me that automated crap If you were listening, this shoddy music verifying would have been sorted out back in '06 when you launched","1: We're sorry you feel that way. We love to have all of his music on Spotify and are working to make this a reality. By the way, you can...",Wed Oct 18 01:28:20 +0000 2017
1931637,1931637,1931635,Is there a reason why Spotify songs sound quieter now? I can barely hear the fullness of songs now.😣,"Hi. We're sorry you feel that way. Can you let us know what device, OS, and Spotify version you're using? We'll see what we can suggest /LM",Sat Oct 28 16:40:25 +0000 2017
1486555,1486555,1486557,then what is the download songs feature for???,"Just to clarify, are you referring to your saved songs in Your Library? /MT",Sun Oct 29 02:37:53 +0000 2017
1952178,1952178,1952177,"It's not a specific advert, every advert that shows on the ad breaks. I know that the adverts are being played from the box in red though",Thanks for letting us know. Could you send us a DM with your account's email address or username? We'll take a look backstage /QI,Sun Oct 29 15:35:34 +0000 2017
2316492,2316492,2316494,I already have 30 songs on this playlist... how many do y'all suggest I have so I can avoid 7 suggested tracks in a row?,"We'd suggest adding more tunes to your playlist, and check out if you've never had a subscription/trial before /RA",Mon Nov 13 06:02:15 +0000 2017
1639046,1639046,1639045,several songs have incorrect/mismatched titles. two songs even have the same titles.,Thanks. We'll get this reported. Great detective work! /DF,Sun Nov 05 19:14:36 +0000 2017
1775589,1775589,1775588,I just accidentally thumbs-downed a song that I wanted to hit rewind to hear again. Come on guys that's a terrible UX fail! :-(,"Hi! Right now it isn’t possible to undo the action, but we’ll pass on your feedback. You can unsave songs saved to Your Library, though /KB",Tue Oct 10 22:57:19 +0000 2017
386268,386268,386270,I'm an Apple Music user sweetie I just want the tea on JLo's Spotify sessions,"Got it. We just wanted to check availability for your account. In any case, feel free to tweet us if there's anything else /GK",Mon Oct 09 13:38:43 +0000 2017
2948900,2948900,2948902,"Just Closed the App and Opened it again. Everything's working fine now, I'm completely back to streaming at 1am instead of sleeping 😄","Awesome, that's what we like to hear! If you need help with anything else, just give us a shout. Otherwise, have a... 😉 /GU",Wed Nov 29 17:04:02 +0000 2017
260046,260046,260044,Really wish would stop freezing on my phone and not take 5 minutes for a song to start playing.,"Hi there. We're sorry you feel that way. Can you let us know what device, OS, and Spotify version you're running? /LM",Thu Oct 05 20:43:56 +0000 2017
941233,941233,941234,I am shocked at you suggesting that to a premium user. How do you suggest getting back songs I have synced over 5 years?,"Apologies for the confusion. Just to clarify, are the deleted songs you're referring to your downloaded songs? /MT",Sat Oct 14 22:18:06 +0000 2017
687034,687034,687033,"dear Spotify, why do the recommended songs based on my playlist have 80% local songs listed whereas my playlist itself barely has any? The algorythm seems to be lacking a basic understanding of my music choice","Hey there! Well, that's embarrassing. Thanks for reporting. We'll pass it on to the right folks /PL",Thu Nov 23 13:49:37 +0000 2017
1089029,1089029,1089028,hi there Spotify. About 2 days ago when I am streaming music it keeps jumping like a scratched CD. I reset the setting.,"Hey, help's here. Can you let us know the device, OS, and Spotify version you're using? We'll see what we can suggest /KL",Mon Oct 23 19:13:53 +0000 2017
190106,190106,190105,"it's a playlist in a set of folders. full path is ""feeling kind of... -&gt; ...emo -&gt; (all of the emo diaries)"". 119 songs. i was connected to wi-fi and got the errors i shared earlier. but when i paired over bluetooth i was able to play the playlist. heard of that problem before?","Thanks. Just to check, does the same thing happen on other offline playlists or just for the ones you've mentioned? /JU",Wed Oct 04 22:33:05 +0000 2017
11169,11169,11167,They aren’t locally imported… We just imported her iTunes playlist in Spotify so it found identical songs. Is that why they are greyed out?,You're right. It's possible that some tracks from her iTunes isn't available on Spotify. This is why you can't play these tracks /JU,Wed Nov 01 00:41:06 +0000 2017
885118,885118,885117,How do I sync up my app and web player? I get my premium on the web player but cannot access it on my app- logged into same acct,Hey Katie! Can you DM us your account's email address? We'll take a look under the hood /QI,Fri Oct 20 22:36:33 +0000 2017
1794202,1794202,1794204,"Samsung S8, Android 7.0, Spotify 8.4.22.857armV7 there is only Shuffle Play but no Play",Thanks for the info. Can you DM us your account's email address or username? We'll take a look backstage /KM,Thu Oct 12 11:44:53 +0000 2017
1252703,1252703,1252702,"uhm we need nostalgia, ULTRA bc more frank ocean, the better &amp; I NEED frank's version of coldplay's strawberry swing on my phone!!!","Hey! We’d love to have all of his stuff available, but we have some info about content here: /NQ",Mon Oct 16 04:19:39 +0000 2017
2877423,2877423,2877424,Sounds good.,"That's great to hear. In that case, can you DM us so we can look into this some more? /DV",Wed Nov 29 17:12:41 +0000 2017
1027113,1027113,1027112,"hi please make a ""remove queue"" option I'm very annoyed with your app thanks.",Hey there! Could you let us know what device/OS you're using? Keep us posted /DF,Mon Oct 23 00:35:36 +0000 2017
488803,488803,488802,"I just found out there is a video function in spotify, but i cant seem to play any videos. I am in Norway, i have premium and my spotify desktop version is 1.0.68.407.g6864aaaf. Thanks in advance.",Hey! Can you send us the Video Link? Just tap the three dots &gt; Share &gt; Copy Link. We'll take a look backstage /MX,Fri Dec 01 16:14:15 +0000 2017
9383,9383,9382,please fix ASAP I hate Apple Music I don’t want to use them 😩,"Hey, help's here! Is it still missing after logging out, restarting the app, then logging back in? Let us know how it goes /SJ",Mon Oct 30 14:59:52 +0000 2017
1162441,1162441,1162440,I want to close my premium subscription but can’t log in through Facebook despite changing passwords can’t use contact form as can’t log in help!,Hey there! Can you DM us your account's email address? We'll take a look backstage /TJ,Fri Nov 10 16:54:34 +0000 2017
2480757,2480757,2480756,"If I cancel a premium account originated through iTunes and resubscribe under a new family plan, will I retain my playlists?","Hi Chris, help's here! Can you DM us your account's email address? We'll take a look backstage /DV",Sun Oct 29 22:13:35 +0000 2017
1242917,1242917,1242916,I never requested email change. Can't get into my account,"Hey! For security reasons, can you delete the last tweet you sent, and DM it to us instead? /RB",Wed Oct 25 23:09:10 +0000 2017
1819268,1819268,1819266,Anyone else receive a notification email address associated w/ their account changed? Unknown Android device added to my acct too,Hey there! That doesn't sound good. Can you DM us your account's email address or username? We'll take a look backstage /PB,Mon Oct 16 15:42:20 +0000 2017
2475171,2475171,2475170,my account (ccdap) has been hacked!,"Hey Charles, sorry to hear about that. Could you send us a DM with your account's email address? We'll check things out /AY",Wed Nov 15 13:26:31 +0000 2017
2836378,2836378,2836377,"Hey Spotify, it'd be great if you had better security measures so some random person in Italy could stop using my account. Thanks.",Hi there! That doesn't sound good. Can you DM us your account's email address or username? We'll take a look under the hood /XF,Mon Nov 27 15:08:25 +0000 2017
1847231,1847231,1847230,"how do I delete my account, you are charging me for two accounts, I don’t know why and I can’t find out how to cancel?","1: Hey Karen, that doesn't sound right! Can you DM us the email addresses that you may have used to set up the Spotify accounts so we...",Thu Oct 19 20:01:26 +0000 2017
792223,792223,792222,I Finally chose to sign up to Spotify but without going through Facebook and it generated a stupid code username. Want to close my account and resubscribe but the contact/chat system won't work. can anyone pls help!? :'(,Hey! Can you DM us your account's email address? We'll see what we can suggest /CB,Thu Oct 12 13:14:30 +0000 2017
2019057,2019057,2019056,trouble getting my wife signed up via our premium family account... sent an invite and she is getting an error. Need help.,"Hi Brett, help's here! Can you DM us the usernames or email addresses of your and your wife's accounts? We'll take a look backstage /MC",Sat Nov 04 22:45:07 +0000 2017
2865500,2865500,2865499,- having problems with my account. same email address - on one device it's showing as premium (App) and another (Facebook/web) without premium. Help please!,Hey! The cavalry's here. Can you DM us your account's username or email address? We'll take a look under the hood /JS,Tue Nov 28 00:17:51 +0000 2017
2792168,2792168,2792166,help! Cant reset password !,"Hi Zeb. Help's arrived! Could you send us your email address via DM? Also, if you've received any error messages while trying to reset your password, a screenshot of it would be really helpful. We'll see what's going on /KA",Tue Nov 21 20:49:34 +0000 2017
120279,120279,120278,I don't know what it is. After my fb was locked out my spotify username on my laptop changed to a number,We've just sent a DM your way. Let's carry on chatting there 🙂 /CG,Thu Nov 23 23:12:31 +0000 2017
340614,340614,340616,Thanks - looks like I have to fill out a Contact Us form since the email address in my account was taken over from a hack.,No worries. Let us know if there's anything else we can help you with. We'll be right here waiting /NQ,Sun Oct 08 00:53:47 +0000 2017
383401,383401,383400,"I'm trying to change my address on my family plan, it says I need to create a new account, can i use facebook again?","Hey, help's here! Can you DM us your account's email address? We'll see what we can suggest /GK",Mon Oct 09 10:45:26 +0000 2017
864563,864563,864562,halp! I can't get anything by Beck to play on my account. Everything else is working. Any advice on how I can fix?,"Hey Tara! Are you getting any specific error messages when you're trying to play Beck songs? If so, a screenshot of it would help /AR",Thu Oct 19 04:32:49 +0000 2017
2901251,2901251,2901250,my account has been charged for premium two months in a row that I wasn’t signed up for. Please help.,"Hey Emily, help's here! Could you DM us your account's email address and username? We'll take a look backstage /CG",Tue Nov 28 18:04:06 +0000 2017
1713302,1713302,1713301,I am still a student (now masters) but u have upped the fees on my account as if I am no longer a student. Pls sort this out 4 me ❤,Hey there! Can you DM us your account's email address? We'll take a look backstage /RB,Tue Nov 07 02:44:24 +0000 2017
1973063,1973063,1973062,my account was hacked and email and password were changed on my spotify account,Hey there. Sorry to hear about that! We suggest you follow the steps at We hope that helps /CB,Tue Nov 14 18:58:19 +0000 2017
516760,516760,516759,"I have already a premium account through Vodafone contract, if I upgrade to the family premium will I just be charged the difference?",Hey Robert! Can you DM us your account's email address or username? We'll take a look backstage /MT,Sat Dec 02 01:12:22 +0000 2017
76244,76244,76243,please help me with my login.,Hey there! Can you DM us your account's username or email address? We'll take a look backstage /MS,Thu Nov 30 11:42:32 +0000 2017
2543080,2543080,2543078,Android app asks to log on but when I try it says I'm set to offline. Then gets stuck in a loop. 7gb of downloads I need to access!,Hey Richard! Help's here. Can you let us know the Android and Spotify versions you're running? We'll see what we can suggest /KM,Thu Nov 16 13:02:18 +0000 2017
1938749,1938749,1938748,", i'm not gonna change my Facebook account to Vietnamese just because i'm on vacation. Show me local ads i wont undestand it anyway.","Hey there! Don't worry, we're here to help. Can you DM us your account's email address? We'll take a look backstage /MT",Sat Oct 28 04:38:19 +0000 2017
1215721,1215721,1215720,"email rep won't respond, Twitter rep won't respond. Wtf???",Hey Joshua! We've just replied to your DM. Check it out /C,Wed Oct 25 17:12:03 +0000 2017
729782,729782,729781,Yo i just got premium but realised the email i used has been deleted so how do i get the receipt for it?,Hey! Can you DM us your account's username or email address so we can check? /JP,Fri Oct 06 18:52:52 +0000 2017
1873162,1873162,1873161,Hello my account got hacked by some random spanish peeps. But i managed to log out from all devices. What should i do?,"Hey, that's not cool. Can you fire over your account's email address via DM? We'll check under the hood /NY",Fri Oct 20 06:17:44 +0000 2017
1781669,1781669,1781668,hey! My daughter is added to my family premium plan but her account won’t upgrade from free. Please help!,Hey Tucker! Can you DM us the username and email address of your daughter's account? We'll check backstage /JL,Thu Oct 12 00:28:55 +0000 2017
2795541,2795541,2795540,I have 2 accounts with 2 different email addresses that I need to merge -- how? Other wise I will need to cancel the premium on my secondary account,Hey! Can you DM us the usernames and email addresses used for both accounts? We'll see what we can suggest /JL,Tue Nov 21 22:26:19 +0000 2017
1180934,1180934,1180933,Trying to switch my premium account to premium family with an invite from my dad; getting error 601 on confirmation page.,Hey Julia! Can you DM us your account's email address or username? We'll take a look /NS,Tue Oct 24 22:07:32 +0000 2017
1925336,1925336,1925335,"It keeps saying (daily) I'm offline when not then: log out desktop, try login in FB, screen doesn't come up to agree to login",Hi Shari! Can you DM us your account's email address and a screenshot of what you're seeing on your end? We'll check backstage /AU,Fri Oct 27 14:43:35 +0000 2017
2823500,2823500,2823499,let me change my username!,"Hi! We're afraid there's no option to change usernames, but we can help you set up a new account. Could you DM us your account's email address? /RE",Mon Nov 27 08:43:00 +0000 2017
2490945,2490945,2490944,"I upgraded my phone, and my saved library won't appear on my new phone. Yes I am logged into the right account",We've just sent a DM your way. Let's carry on chatting there 🙂 /CG,Wed Nov 15 17:41:20 +0000 2017
1862320,1862320,1862319,can I get some help? I can’t login to our account. Thanks,"Hey there, help's here! Can you DM us your account's email address and username? We'll see what we can suggest 🙂 /CG",Thu Oct 19 18:24:06 +0000 2017
1174969,1174969,1174968,The family member I’m trying to invite to my plan doesn’t receive the email despite several re-sends?,Hey Kasper! Can you DM us the email addresses for both of your accounts? We'll take a look backstage /SJ,Sun Oct 15 16:48:54 +0000 2017
1742929,1742929,1742927,hi I've noticed some weird behaviour on my app today. Reset my account password just in case.,Hi Joe! We’re sorry to hear that. Check out for what to do next /CP,Tue Nov 07 14:28:44 +0000 2017
2284263,2284263,2284261,"If I get a Spotify Premium account, can I access all my music from my Roku?","Hi Dennis! Once you're on Premium, you'll be able to play your tunes on your Roku device. More info here: /NY",Sat Nov 11 14:47:47 +0000 2017
149357,149357,149356,I’m trying to use spotify on my PS4 and when I try to link my account it tells me it’s already linked to one??,Hey there! That's not cool. Our friends over should be able to help with this. Give us a shout if you have other questions /QI,Fri Nov 24 15:00:26 +0000 2017
2684807,2684807,2684806,what can i do if i dont know what email is linked to my account?,"Hi Aryana, help's arrived! Could you DM us the username of your account? We'll be waiting for your reply 🔍 /JQ",Wed Oct 25 02:45:35 +0000 2017
1955710,1955710,1955709,Yo! Having loads of 'Error 3' messages when I try and sign in with my Facey B account! How do I fix it please?,"Hey there, we're here to help! Could you DM us your account's email address? We'll check backstage for you /BX",Mon Oct 30 16:33:01 +0000 2017
2027445,2027445,2027444,Web bronzer log in circle or can'T find the page. I am not the only one I will ask a refund,"Hey, that doesn't sound right. Can you try accessing the site using a private or incognito window? Let us know how everything goes /JE",Mon Nov 06 20:07:19 +0000 2017
2699567,2699567,2699566,"Hi, it's like i need help with a playlist that is in my old account, i just want to have it in my new account ( i made a new account to dislink the fb ) but i thought in premium i'd have the chance, any help :(",Hey! We've just replied to your DM. Let's continue chatting there /GT,Sun Nov 26 22:43:07 +0000 2017
